Ticker,Sector,Industry,Prev Year Last Close,Latest Close,Pct Change
LYB,Basic Materials,Specialty Chemicals,67.61054992675781,44.63999938964844,-0.3397480210114141
DOW,Basic Materials,Chemicals,37.33880233764648,24.354999542236328,-0.3477294927137863
MORN,Financial Services,Financial Data & Stock Exchanges,334.5877990722656,217.0,-0.3514407859411171
CHH,Consumer Cyclical,Lodging,140.6837615966797,91.2300033569336,-0.3515242816830771
BILL,Technology,Software - Application,84.70999908447266,54.91999816894531,-0.3516704195194337
MANH,Technology,Software - Application,270.239990234375,174.02000427246094,-0.3560538389542715
GDDY,Technology,Software - Infrastructure,197.3699951171875,125.5199966430664,-0.3640370889782943
KMPR,Financial Services,Insurance - Property & Casualty,64.85546875,41.2400016784668,-0.364124529923056
XRAY,Healthcare,Medical Instruments & Supplies,18.3574161529541,11.600000381469728,-0.3681027719359602
SFM,Consumer Defensive,Grocery Stores,127.06999969482422,79.91999816894531,-0.3710553367365705
CHTR,Communication Services,Telecom Services,342.7699890136719,212.05999755859372,-0.3813344097924062
POWI,Technology,Semiconductors,60.57423400878906,37.34999847412109,-0.3834012252024223
FDS,Financial Services,Financial Data & Stock Exchanges,474.7599487304688,292.66339111328125,-0.3835550115466197
ELF,Consumer Defensive,Household & Personal Products,125.5500030517578,77.08190155029297,-0.3860461993097995
FND,Consumer Cyclical,Home Improvement Retail,99.6999969482422,60.900001525878906,-0.3891674685055983
DUOL,Technology,Software - Application,324.2300109863281,197.7250061035156,-0.3901705597763029
CMG,Consumer Cyclical,Restaurants,60.29999923706055,34.869998931884766,-0.4217247201811975
MOH,Healthcare,Healthcare Plans,291.04998779296875,166.89999389648438,-0.4265590073990843
ASGN,Technology,Information Technology Services,83.33999633789062,47.744998931884766,-0.4271058191758349
GPK,Consumer Cyclical,Packaging & Containers,26.765867233276367,15.229999542236328,-0.4309917399836087
UA,Consumer Cyclical,Apparel Manufacturing,7.460000038146973,4.239999771118164,-0.4316354223275099
FLO,Consumer Defensive,Packaged Foods,19.300413131713867,10.875,-0.436540558702833
BBWI,Consumer Cyclical,Specialty Retail,37.54658508300781,20.252500534057617,-0.4606033947086403
UAA,Consumer Cyclical,Apparel Manufacturing,8.279999732971191,4.420000076293945,-0.4661835484494787
AVTR,Healthcare,Medical Instruments & Supplies,21.06999969482422,11.21500015258789,-0.4677266105825896
PRGO,Healthcare,Drug Manufacturers - Specialty & Generic,24.870681762695312,13.175000190734863,-0.4702597895608694
TREX,Industrials,Building Products & Equipment,69.02999877929688,35.400001525878906,-0.4871794560063661
NSP,Industrials,Staffing & Employment Services,75.4258041381836,38.665000915527344,-0.4873770143081105
DECK,Consumer Cyclical,Footwear & Accessories,203.08999633789065,101.97509765625,-0.4978822221918351
ARE,Real Estate,REIT - Office,92.99510955810548,46.02000045776367,-0.5051352627418615
CAVA,Consumer Cyclical,Restaurants,112.8000030517578,55.26499938964844,-0.5100620754035766
LULU,Consumer Cyclical,Apparel Retail,382.4100036621094,187.00999450683597,-0.5109699204624505
IT,Technology,Information Technology Services,484.4700012207031,232.66000366210935,-0.5197638593186706
COTY,Consumer Defensive,Household & Personal Products,6.960000038146973,3.244999885559082,-0.5337643868141372
BRBR,Consumer Defensive,Packaged Foods,75.33999633789062,32.45000076293945,-0.5692858728396377
RH,Consumer Cyclical,Specialty Retail,393.5899963378906,153.30999755859375,-0.6104829924920663
FISV,Technology,Information Technology Services,205.4199981689453,68.16000366210938,-0.6681919760993671
TTD,Communication Services,Advertising Agencies,117.52999877929688,37.02000045776367,-0.6850165843421687
